epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1784.42,0.90379,0.58515,0.92649,0.78276,0.73666,0.81306,0.66205,0.85699,0.56378,0.91843,0.005743,0.005743,0.005743
45,1822.82,0.89438,0.57978,0.93081,0.73838,0.76503,0.80392,0.65056,0.86348,0.56553,0.9178,0.005644,0.005644,0.005644
46,1860.85,0.87999,0.57036,0.92994,0.76127,0.7689,0.81249,0.66408,0.85574,0.55518,0.91395,0.005545,0.005545,0.005545
47,1900.33,0.88003,0.58167,0.92773,0.76549,0.75993,0.82922,0.66485,0.85962,0.56448,0.91904,0.005446,0.005446,0.005446
48,1939.52,0.89345,0.57288,0.92945,0.78845,0.76227,0.80727,0.6634,0.87429,0.56357,0.92136,0.005347,0.005347,0.005347
49,1978.78,0.87749,0.57421,0.92087,0.72047,0.79097,0.82098,0.66412,0.85335,0.55956,0.91577,0.005248,0.005248,0.005248
50,2017.88,0.87543,0.57025,0.91917,0.84165,0.726,0.83846,0.69437,0.82926,0.5477,0.9094,0.005149,0.005149,0.005149
51,2071.73,0.8719,0.56169,0.92255,0.72955,0.7945,0.82143,0.67405,0.84203,0.55478,0.90884,0.00505,0.00505,0.00505
52,2124.89,0.88157,0.57284,0.92674,0.76553,0.78368,0.83772,0.67346,0.83832,0.53955,0.90715,0.004951,0.004951,0.004951
53,2178.55,0.87539,0.56674,0.92319,0.84716,0.74194,0.83591,0.68628,0.84712,0.54979,0.91147,0.004852,0.004852,0.004852
54,2232.04,0.86944,0.54684,0.91781,0.8243,0.77721,0.84051,0.68008,0.84069,0.543,0.91064,0.004753,0.004753,0.004753
55,2284.91,0.87154,0.55667,0.92034,0.84704,0.75767,0.84309,0.68804,0.84801,0.54289,0.91299,0.004654,0.004654,0.004654
56,2339.12,0.8695,0.55621,0.91909,0.7958,0.76646,0.84872,0.68607,0.84542,0.53628,0.91534,0.004555,0.004555,0.004555
57,2377.54,0.85943,0.55048,0.9169,0.82326,0.79372,0.8621,0.70287,0.83244,0.53751,0.90878,0.004456,0.004456,0.004456
58,2415.73,0.84834,0.54916,0.91124,0.73329,0.79823,0.82431,0.68847,0.82543,0.52944,0.90681,0.004357,0.004357,0.004357
59,2453.37,0.83075,0.53759,0.91142,0.74684,0.82113,0.85468,0.70145,0.81482,0.52596,0.90465,0.004258,0.004258,0.004258
60,2491.85,0.84487,0.54151,0.91056,0.78146,0.77384,0.8169,0.66801,0.81834,0.53185,0.90547,0.004159,0.004159,0.004159
61,2531.18,0.85101,0.55229,0.91385,0.83588,0.75656,0.84722,0.69837,0.82504,0.54108,0.90231,0.00406,0.00406,0.00406
62,2571.04,0.83927,0.53917,0.91123,0.76136,0.76417,0.8459,0.70032,0.82772,0.53846,0.9055,0.003961,0.003961,0.003961
63,2611.53,0.84596,0.54453,0.91956,0.82341,0.79588,0.87506,0.70247,0.82351,0.52945,0.90665,0.003862,0.003862,0.003862
64,2654.4,0.83572,0.53948,0.92044,0.81854,0.76999,0.83402,0.69009,0.81924,0.53799,0.90379,0.003763,0.003763,0.003763
65,2692.75,0.84617,0.54752,0.91311,0.80164,0.7904,0.85635,0.71627,0.80467,0.52598,0.901,0.003664,0.003664,0.003664
66,2730.01,0.84228,0.53697,0.91396,0.89154,0.76805,0.87773,0.72123,0.82458,0.52657,0.90417,0.003565,0.003565,0.003565
67,2770.47,0.83565,0.53607,0.91213,0.78131,0.78274,0.84778,0.69863,0.81268,0.52816,0.9034,0.003466,0.003466,0.003466
68,2809.02,0.83593,0.53348,0.90343,0.79292,0.80201,0.85125,0.71225,0.81448,0.51939,0.90313,0.003367,0.003367,0.003367
69,2847.7,0.83557,0.52508,0.91105,0.76921,0.87135,0.87605,0.72766,0.80846,0.51295,0.89943,0.003268,0.003268,0.003268
70,2886.64,0.82667,0.51986,0.90874,0.77804,0.83952,0.87236,0.7332,0.79335,0.51417,0.89711,0.003169,0.003169,0.003169
71,2924.83,0.81719,0.52729,0.90656,0.85492,0.77298,0.87046,0.727,0.81198,0.51221,0.9,0.00307,0.00307,0.00307
72,2964.18,0.82487,0.5266,0.90441,0.81717,0.80621,0.86646,0.72303,0.80951,0.52386,0.89887,0.002971,0.002971,0.002971
73,3002.47,0.81521,0.5169,0.90407,0.78584,0.81525,0.86104,0.73318,0.7992,0.5147,0.8996,0.002872,0.002872,0.002872
74,3041.43,0.81948,0.52609,0.90741,0.83763,0.76302,0.85726,0.7201,0.80123,0.5152,0.89824,0.002773,0.002773,0.002773
75,3079.83,0.8083,0.50855,0.90187,0.82696,0.79765,0.8675,0.72813,0.81542,0.51277,0.90507,0.002674,0.002674,0.002674
76,3123.61,0.82013,0.52309,0.90386,0.85643,0.75563,0.86737,0.72882,0.79651,0.51074,0.89615,0.002575,0.002575,0.002575
77,3172.37,0.80655,0.5167,0.902,0.85038,0.75806,0.85882,0.71315,0.79435,0.50633,0.8939,0.002476,0.002476,0.002476
78,3214.23,0.79443,0.50738,0.89162,0.84757,0.77102,0.86649,0.71726,0.81681,0.51311,0.89797,0.002377,0.002377,0.002377
79,3256.58,0.80309,0.50853,0.89786,0.83086,0.80654,0.86531,0.71917,0.7791,0.49919,0.89608,0.002278,0.002278,0.002278
80,3298.78,0.79142,0.50064,0.90096,0.84073,0.7621,0.86276,0.7149,0.79251,0.50443,0.89584,0.002179,0.002179,0.002179
81,3340.04,0.79583,0.50994,0.90153,0.8358,0.7866,0.87639,0.73522,0.78619,0.49811,0.8943,0.00208,0.00208,0.00208
82,3380.96,0.79045,0.50183,0.89811,0.79417,0.83231,0.87487,0.73781,0.78148,0.4973,0.89287,0.001981,0.001981,0.001981
83,3424.08,0.79639,0.50888,0.9064,0.76071,0.86422,0.87909,0.74669,0.78227,0.49806,0.89339,0.001882,0.001882,0.001882
84,3471.63,0.78246,0.49592,0.89421,0.79306,0.81993,0.86244,0.71943,0.7916,0.50203,0.89429,0.001783,0.001783,0.001783
85,3525.17,0.78259,0.49354,0.89329,0.85995,0.78507,0.87452,0.73303,0.77624,0.49431,0.89035,0.001684,0.001684,0.001684
86,3568.95,0.77719,0.48695,0.89375,0.86167,0.7814,0.87859,0.73588,0.76681,0.49093,0.88893,0.001585,0.001585,0.001585
87,3607.1,0.7815,0.48915,0.896,0.81088,0.81868,0.87192,0.738,0.76809,0.49094,0.88838,0.001486,0.001486,0.001486
88,3645.76,0.77401,0.4852,0.89091,0.83899,0.79759,0.87241,0.72906,0.7712,0.4853,0.88989,0.001387,0.001387,0.001387
89,3685.43,0.77672,0.49323,0.89762,0.80962,0.81356,0.87116,0.72604,0.77873,0.49197,0.8918,0.001288,0.001288,0.001288
90,3725.18,0.77714,0.48666,0.89451,0.82467,0.82444,0.87748,0.74441,0.77281,0.48815,0.8892,0.001189,0.001189,0.001189
91,3764.32,0.77279,0.48794,0.8847,0.79723,0.84885,0.89662,0.74457,0.78778,0.49048,0.89232,0.00109,0.00109,0.00109
92,3804.3,0.76142,0.48054,0.87844,0.78358,0.84863,0.87849,0.73352,0.78128,0.48999,0.89124,0.000991,0.000991,0.000991
93,3842.61,0.77239,0.48107,0.88235,0.78899,0.85279,0.88665,0.75046,0.77398,0.48715,0.8888,0.000892,0.000892,0.000892
94,3879.45,0.76527,0.47564,0.88274,0.83718,0.8013,0.89173,0.75356,0.76753,0.48073,0.88838,0.000793,0.000793,0.000793
95,3917.03,0.75244,0.46929,0.87676,0.77604,0.83852,0.8825,0.74716,0.77393,0.49158,0.88851,0.000694,0.000694,0.000694
96,3955.54,0.74437,0.4637,0.87279,0.85044,0.818,0.88868,0.74782,0.77004,0.47768,0.88761,0.000595,0.000595,0.000595
97,3992.86,0.74268,0.46545,0.87648,0.82973,0.81355,0.88579,0.75802,0.76549,0.47532,0.88728,0.000496,0.000496,0.000496
98,4030.47,0.74384,0.46054,0.87395,0.91483,0.74317,0.88767,0.75919,0.75932,0.47475,0.88813,0.000397,0.000397,0.000397
99,4068.16,0.74237,0.45914,0.87458,0.81333,0.8411,0.89465,0.7683,0.75796,0.46844,0.88667,0.000298,0.000298,0.000298
100,4105.74,0.73856,0.45596,0.87579,0.84999,0.8211,0.8941,0.7624,0.76277,0.46991,0.88749,0.000199,0.000199,0.000199
